passenger_number,Class,Sex,Age,Survived
1,2nd,Male,Adult,No
2,3rd,Male,Child,No
3,3rd,Male,Adult,No
4,Crew,Male,Adult,No
5,Crew,Male,Adult,No
6,2nd,Female,Child,Yes
7,1st,Male,Adult,Yes
8,Crew,Male,Adult,Yes
9,1st,Female,Adult,Yes
10,Crew,Male,Adult,No
11,Crew,Male,Adult,No
12,1st,Male,Child,Yes
13,Crew,Male,Adult,No
14,Crew,Male,Adult,No
15,Crew,Male,Adult,No
16,2nd,Male,Adult,No
17,3rd,Male,Adult,No
18,Crew,Male,Adult,No
19,3rd,Male,Adult,No
20,Crew,Male,Adult,No
21,3rd,Male,Child,No
22,3rd,Female,Adult,No
23,3rd,Male,Adult,No
24,1st,Female,Adult,Yes
25,2nd,Male,Adult,No
26,1st,Female,Adult,Yes
27,2nd,Male,Adult,Yes
28,3rd,Male,Adult,No
29,3rd,Female,Adult,No
30,3rd,Female,Adult,Yes
31,Crew,Male,Adult,No
32,Crew,Male,Adult,No
33,1st,Female,Adult,Yes
34,2nd,Female,Adult,Yes
35,1st,Male,Adult,No
36,3rd,Female,Adult,No
37,3rd,Female,Child,No
38,3rd,Female,Adult,Yes
39,3rd,Female,Adult,No
40,3rd,Male,Adult,No
41,3rd,Male,Adult,No
42,3rd,Male,Child,No
43,1st,Male,Adult,Yes
44,3rd,Male,Adult,No
45,3rd,Male,Adult,No
46,Crew,Male,Adult,No
47,Crew,Male,Adult,No
48,Crew,Male,Adult,No
49,3rd,Male,Adult,No
50,Crew,Male,Adult,No
51,3rd,Male,Adult,No
52,Crew,Male,Adult,Yes
53,Crew,Male,Adult,No
54,Crew,Male,Adult,No
55,2nd,Male,Adult,No
56,3rd,Female,Adult,Yes
57,2nd,Male,Adult,No
58,1st,Male,Adult,Yes
59,Crew,Male,Adult,No
60,Crew,Male,Adult,No
61,1st,Female,Adult,Yes
62,Crew,Male,Adult,No
63,3rd,Male,Adult,Yes
64,3rd,Male,Adult,No
65,Crew,Male,Adult,No
66,3rd,Male,Adult,No
67,Crew,Male,Adult,No
68,3rd,Male,Adult,Yes
69,2nd,Male,Adult,No
70,1st,Female,Adult,Yes
71,1st,Male,Adult,Yes
72,Crew,Male,Adult,No
73,3rd,Female,Adult,No
74,Crew,Male,Adult,Yes
75,2nd,Male,Adult,No
76,3rd,Male,Adult,Yes
77,3rd,Male,Adult,No
78,1st,Female,Adult,Yes
79,1st,Male,Adult,Yes
80,Crew,Male,Adult,No
81,Crew,Male,Adult,Yes
82,3rd,Female,Adult,Yes
83,Crew,Male,Adult,Yes
84,Crew,Male,Adult,No
85,2nd,Female,Adult,Yes
86,Crew,Male,Adult,Yes
87,1st,Male,Adult,No
88,Crew,Male,Adult,No
89,3rd,Male,Adult,Yes
90,Crew,Male,Adult,No
91,Crew,Male,Adult,No
92,1st,Male,Adult,Yes
93,3rd,Male,Adult,No
94,Crew,Male,Adult,No
95,Crew,Male,Adult,Yes
96,1st,Male,Adult,No
97,2nd,Male,Adult,No
98,Crew,Male,Adult,No
99,3rd,Male,Adult,No
100,3rd,Female,Adult,No
101,1st,Female,Adult,Yes
102,1st,Female,Adult,Yes
103,2nd,Male,Adult,No
104,3rd,Female,Adult,No
105,2nd,Female,Adult,Yes
106,3rd,Male,Adult,No
107,3rd,Male,Child,No
108,Crew,Male,Adult,No
109,2nd,Male,Adult,No
110,3rd,Male,Adult,No
111,3rd,Male,Adult,Yes
112,2nd,Female,Adult,Yes
113,3rd,Female,Adult,Yes
114,Crew,Male,Adult,No
115,2nd,Male,Adult,No
116,Crew,Male,Adult,Yes
117,2nd,Male,Adult,No
118,Crew,Male,Adult,Yes
119,Crew,Male,Adult,No
120,3rd,Male,Adult,No
121,3rd,Male,Adult,No
122,Crew,Male,Adult,No
123,2nd,Male,Adult,No
124,Crew,Male,Adult,Yes
125,Crew,Male,Adult,Yes
126,Crew,Male,Adult,No
127,1st,Female,Adult,Yes
128,3rd,Male,Adult,Yes
129,2nd,Female,Adult,Yes
130,3rd,Male,Adult,No
131,3rd,Male,Child,Yes
132,Crew,Male,Adult,No
133,Crew,Male,Adult,Yes
134,3rd,Male,Adult,No
135,Crew,Male,Adult,No
136,3rd,Male,Adult,No
137,2nd,Female,Child,Yes
138,3rd,Male,Adult,No
139,2nd,Male,Adult,No
140,Crew,Male,Adult,Yes
141,1st,Male,Adult,No
142,Crew,Female,Adult,Yes
143,Crew,Male,Adult,No
144,3rd,Male,Adult,No
145,Crew,Male,Adult,No
146,3rd,Male,Adult,No
147,2nd,Male,Adult,No
148,3rd,Female,Adult,Yes
149,2nd,Female,Adult,Yes
150,Crew,Male,Adult,No
151,3rd,Male,Adult,No
152,Crew,Male,Adult,No
153,Crew,Male,Adult,Yes
154,3rd,Female,Adult,Yes
155,3rd,Female,Adult,No
156,Crew,Male,Adult,Yes
157,3rd,Female,Adult,Yes
158,2nd,Male,Adult,No
159,Crew,Male,Adult,Yes
160,Crew,Male,Adult,No
161,1st,Female,Adult,Yes
162,Crew,Male,Adult,No
163,2nd,Male,Child,Yes
164,3rd,Female,Adult,Yes
165,3rd,Male,Adult,No
166,3rd,Male,Adult,No
167,2nd,Male,Adult,No
168,Crew,Male,Adult,No
169,3rd,Male,Adult,No
170,Crew,Male,Adult,No
171,Crew,Male,Adult,No
172,Crew,Male,Adult,No
173,3rd,Female,Adult,No
174,Crew,Male,Adult,Yes
175,Crew,Male,Adult,No
176,Crew,Male,Adult,No
177,2nd,Male,Adult,Yes
178,2nd,Male,Adult,No
179,3rd,Male,Adult,No
180,2nd,Male,Adult,No
181,2nd,Female,Adult,Yes
182,Crew,Male,Adult,No
183,1st,Female,Adult,Yes
184,Crew,Male,Adult,No
185,3rd,Female,Adult,Yes
186,1st,Female,Adult,Yes
187,1st,Female,Adult,Yes
188,1st,Male,Adult,No
189,Crew,Male,Adult,Yes
190,1st,Female,Adult,Yes
191,Crew,Male,Adult,Yes
192,Crew,Male,Adult,Yes
193,1st,Male,Adult,No
194,2nd,Female,Adult,Yes
195,Crew,Male,Adult,Yes
196,Crew,Male,Adult,Yes
197,Crew,Male,Adult,No
198,2nd,Male,Adult,No
199,3rd,Female,Child,No
200,Crew,Male,Adult,Yes
201,Crew,Male,Adult,No
202,1st,Male,Adult,No
203,Crew,Male,Adult,No
204,Crew,Male,Adult,No
205,Crew,Male,Adult,No
206,Crew,Male,Adult,No
207,1st,Female,Adult,Yes
208,3rd,Male,Adult,No
209,Crew,Male,Adult,No
210,1st,Male,Adult,No
211,1st,Female,Adult,Yes
212,Crew,Male,Adult,No
213,3rd,Female,Adult,Yes
214,Crew,Male,Adult,No
215,1st,Female,Adult,Yes
216,3rd,Male,Adult,No
217,1st,Male,Adult,No
218,Crew,Male,Adult,No
219,3rd,Female,Child,Yes
220,Crew,Male,Adult,No
221,3rd,Male,Adult,No
222,1st,Male,Adult,No
223,Crew,Male,Adult,No
224,3rd,Male,Adult,No
225,Crew,Male,Adult,No
226,Crew,Male,Adult,No
227,2nd,Female,Adult,Yes
228,2nd,Female,Child,Yes
229,3rd,Male,Adult,No
230,Crew,Male,Adult,No
231,Crew,Male,Adult,No
232,Crew,Male,Adult,No
233,2nd,Male,Adult,No
234,Crew,Male,Adult,No
235,1st,Female,Adult,Yes
236,3rd,Male,Adult,Yes
237,1st,Male,Adult,Yes
238,Crew,Male,Adult,No
239,2nd,Female,Adult,Yes
240,1st,Female,Adult,Yes
241,3rd,Male,Adult,Yes
242,2nd,Male,Adult,No
243,Crew,Female,Adult,Yes
244,3rd,Male,Adult,No
245,1st,Male,Adult,No
246,3rd,Female,Child,No
247,2nd,Male,Adult,No
248,2nd,Female,Adult,Yes
249,2nd,Male,Adult,No
250,Crew,Male,Adult,Yes
251,3rd,Male,Adult,No
252,Crew,Male,Adult,No
253,3rd,Male,Adult,No
254,Crew,Male,Adult,No
255,2nd,Female,Adult,Yes
256,3rd,Female,Adult,No
257,Crew,Male,Adult,No
258,Crew,Male,Adult,No
259,2nd,Female,Adult,Yes
260,Crew,Male,Adult,No
261,2nd,Male,Adult,No
262,Crew,Male,Adult,Yes
263,2nd,Male,Adult,No
264,1st,Male,Adult,No
